Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1094341_Mg,mp-1094341,mp-1094371,Ti,intercalation,-0.046834592500000216,371.35566918264226,1127.9615926471276,-17.39229143873394,-52.82762154727946,0.22962655217002315,0.19974967283836786
mp-1038831_Mg,mp-1038921,mp-1039305,Bi,intercalation,-0.03349287041666649,648.7393272545539,2429.097784503181,-21.728142221932167,-81.3574573257767,0.062160445833333355,0.10436145255178841
mp-1079163_Mg,mp-1079163,mp-8636,Nb,intercalation,-0.04508300285714273,1426.4703864749158,3678.849568295876,-64.30956850907812,-165.85358559848126,0.3422668800000004,0.13255288444630775
mp-1180276_Mg,mp-1180276,mp-21855,VCu3Se4,intercalation,-0.0986929549999993,92.14492893543131,461.34036850999615,-9.094055324902657,-45.53104422904015,0.0,0.20886140097222228
mp-1094540_Mg,mp-1185628,mp-1097924,Sb,intercalation,0.011941622567567478,2119.370561176825,3809.4547362238695,25.308723322387323,45.49107064821777,0.2267117083333332,0.0
mp-10631_Mg,mp-1196139,mp-7761,Sb,intercalation,0.04929202333333345,1101.6495614711,3194.506290864141,54.302535889190025,157.46367862775574,0.23427839500000003,0.0
mp-1046926_Mg,mp-1046926,mp-1047047,Ti3(P2O7)2,intercalation,0.0719815175000007,103.92347180663828,355.8690477974278,7.4805692045103624,25.615994091739136,0.14873565882312967,0.28516035286038566
mp-1094242_Mg,mp-1094242,mp-117,Sn,intercalation,0.05140507083333335,640.7239148039603,2516.9993648543527,32.93645822510822,129.38653063779304,0.0,0.11639069388888901
mp-1094514_Mg,mp-1094514,mp-7162,Sn,intercalation,0.0746281333333334,839.1853262230812,2916.2738647885685,62.62683441675299,217.6360748179568,0.07341952500000026,0.050909044200679876
mp-1094669_Mg,mp-978294,mp-1094669,Sn,intercalation,0.08876715999999973,559.4568841487209,1963.9861711230835,49.66139874833082,174.33747468986962,0.05623698875000027,0.01449865170068021
mp-1048022_Mg,mp-1048061,mp-1048022,W4O9,intercalation,0.048876812500006306,59.31764871694974,481.9228373587137,2.899257594279592,23.554852161052885,0.16453280085798738,0.3945607682142853
mp-1022725_Mg,mp-2343,mp-623511,Sn,intercalation,0.024940137999999983,1115.6359962640606,3202.702867023071,27.824115704593137,79.87585147655099,0.05914658500000014,0.0
mp-1094189_Mg,mp-1185637,mp-1094189,Sn,intercalation,0.012984112777777779,2063.7718572091,3749.57941073997,26.796246541606852,48.68496193828132,0.06660333006802732,0.0
mp-1018795_Mg,mp-643067,mp-1018795,Sn,intercalation,0.07055473999999995,279.72844207436043,973.8741244435611,19.736167501161546,68.71143564284304,0.0822400649999997,0.032200950450679944
mp-1094498_Mg,mp-1185639,mp-1094498,Ti,intercalation,0.01196814968750004,2103.616871664198,3754.550422649069,25.17640160522768,44.935021467530596,0.17967478875838916,0.0
mp-1056004_Mg,mp-1185565,mp-1056004,Mo,intercalation,0.008008552885906073,2148.5106988279117,3880.8998136978057,17.206461557498347,31.080391402901903,0.9077284900000002,0.0
mp-1039074_Mg,mp-1185557,mp-1039074,Bi,intercalation,0.011850104290540453,2071.1116006723164,3803.1790980598935,24.542888465315123,45.06806894761331,0.16325096416666662,0.0
mp-1039048_Mg,mp-1039048,mp-23152,Bi,intercalation,0.012088786250000094,416.1875808453989,2283.476431756132,5.03120270474466,27.60445849041281,0.0,0.14956369898305066
mp-1039073_Mg,mp-1039154,mp-567597,Bi,intercalation,0.07080435833333333,570.4558788029104,2692.278337964347,40.39076245611784,190.62504017429873,0.06081613500000005,0.10891525916666644
mp-1094676_Mg,mp-1094676,mp-568610,Bi,intercalation,0.07858375416666663,570.4558788029104,2684.841253628679,44.828564542777684,210.98490505168118,0.15254154500000006,0.0496380239618639
mp-1195878_Mg,mp-1195878,mp-1343,NdNi2,intercalation,0.01658724837499992,1433.754128836533,3579.2809579499426,23.782035843693208,59.370422253423335,0.011809089722223831,0.005753628981536529
mp-1185941_Mg,mp-1185941,mp-547271,ReO3,intercalation,0.05942303750000155,207.35337604666785,1474.7771789906974,12.321567440573068,87.63573961131071,0.0,0.6425566665
mp-1096950_Mg,mp-1185592,mp-1096950,Fe,intercalation,0.006906430704697986,2171.936791540074,3845.6186547231196,15.000330945755595,26.559498755539114,0.49179946999999924,0.0
mp-1094548_Mg,mp-1094548,mp-1094572,Sb,intercalation,0.1571840350000002,275.3458980993929,964.7481683248196,43.27997928396146,151.64300985615452,0.23741980631638393,0.10417766046186383
mp-1094715_Mg,mp-1094715,mp-1179605,Sb,intercalation,0.1809870400000002,366.98019862731877,1757.9644066785427,66.41865988817057,318.168774390106,0.0004150550000003861,0.124671648333333
mp-1094668_Mg,mp-1094941,mp-133,Sb,intercalation,0.11646194166666674,826.0376942981786,2886.2819040790177,96.20195376782237,336.14199474640634,0.04856705500000036,0.14687430333333307
