mid,helvol,geomvol
mp-753289,0.000,118.406
mp-31998,0.000,96.630
mp-776021,0.000,30.539
mp-757951,0.000,211.504
mp-754280,0.000,43.638
mp-759954,0.095,175.387
mp-777471,0.000,56.936
mp-26572,0.000,80.282
mp-504355,0.310,110.287
mp-26214,0.001,102.763
mp-540517,10.664,309.016
mp-777317,0.016,182.732
mp-504341,28.347,176.939
mp-775272,2.251,137.294
mp-26566,0.561,118.603
mp-752815,0.144,63.668
mp-689963,0.000,80.236
mp-771014,0.000,30.336
mp-779879,4.152,503.354
mp-25292,0.079,50.951
mp-757548,0.000,62.391
mp-556822,0.000,119.299
mp-777840,1.073,80.928
mp-763835,0.000,69.341
mp-780576,1.547,370.193
mp-758653,0.000,59.970
mp-755377,0.340,40.274
mp-753706,0.000,57.185
mp-553966,0.000,36.643
mp-758647,0.099,94.050
mp-697744,0.000,137.346
mp-759559,0.000,69.241
mp-774420,0.009,92.802
mp-758874,0.000,79.801
mp-760333,0.000,40.231
mp-753921,0.265,185.939
mp-26980,0.000,49.162
mp-776223,0.067,128.546
mp-778226,0.000,102.620
mp-765511,0.022,88.033
mp-758690,0.000,30.072
mp-25279,0.165,44.917
mp-756865,0.000,30.619
mp-778554,0.000,44.228
mp-758684,0.202,30.658
mp-756871,0.049,43.520
mp-26002,0.000,97.466
mp-774408,0.000,32.241
mp-761763,0.000,44.989
mp-26765,0.014,170.983
mp-777666,0.000,52.306
mp-771571,0.000,47.716
mp-778233,0.206,249.207
mp-768020,0.000,60.917
mp-504142,0.000,181.555
mp-754901,0.907,18.259
mp-21778,3.393,395.947
mp-29324,2.197,139.762
mp-27309,0.000,207.238
mp-766019,0.000,37.433
mvc-6929,0.000,22.149
mp-25278,8.118,103.143
mp-761010,7.314,145.376
mp-540072,0.000,116.314
mp-26771,0.000,106.557
mp-760326,0.000,28.059
mp-25250,0.050,76.675
mp-26981,0.000,40.636
mp-753934,0.000,55.467
mp-774353,20.481,45.951
mp-761986,8.535,265.432
mp-559279,0.028,162.414
mp-761992,0.000,44.382
mp-31557,0.019,185.254
mp-772050,0.000,44.286
mp-26995,0.000,45.922
mp-768785,4.367,151.378
mp-758646,0.019,106.398
mp-764801,0.000,81.550
mp-753075,0.009,70.596
mp-770860,0.204,116.063
mp-753061,0.002,29.292
mp-774390,0.000,103.506
mp-752431,0.000,30.694
mp-561057,0.007,220.350
mp-25293,0.000,64.435
mp-773399,0.000,22.926
mp-775924,0.000,34.863
mp-849420,0.000,31.638
mp-770684,0.000,30.814
mp-759570,6.757,298.385
mp-777855,0.388,112.619
mp-754054,0.000,10.512
mp-26956,0.936,309.785
mp-26201,0.000,115.462
mp-504340,28.850,203.424
mp-26567,1.329,200.850
mp-752814,0.000,21.613
mp-540270,0.291,62.642
mp-759955,0.113,92.112
mp-504354,0.375,104.648
mp-773170,0.001,64.857
mp-757950,0.000,58.922
mp-540258,0.000,89.391
mp-756496,4.594,46.825
mp-756482,0.000,33.787
mp-754295,0.000,23.628
mp-766227,0.280,62.998
mp-757011,0.000,101.452
mp-705031,0.000,186.704
mp-757777,0.000,35.167
mp-758444,0.000,40.740
mp-25907,1.391,358.458
mp-850367,0.123,108.243
mp-760859,0.020,134.453
mp-766596,0.000,108.943
mp-756455,0.000,67.124
mp-780775,0.000,124.226
mp-774192,4.571,28.077
mp-755148,0.000,42.693
mp-752627,0.849,100.069
mp-706276,0.281,66.322
mp-756441,0.000,45.514
mp-770486,24.437,49.542
mp-757039,0.000,55.269
mp-771940,0.000,91.878
mp-705019,2.213,179.590
mp-773010,0.000,118.090
mvc-16776,0.001,70.182
mp-767065,3.140,153.736
mp-778623,0.000,55.050
mp-540310,0.000,174.089
mp-775307,0.000,30.236
mp-26413,0.000,115.208
mp-26407,0.000,121.888
mp-768424,0.000,95.615
mp-540462,0.384,99.334
mp-32314,22.703,107.248
mp-767071,0.025,64.703
mp-773004,0.542,96.482
mp-26361,0.000,77.596
mp-769074,0.053,104.285
mp-763559,0.325,32.025
mp-764236,0.000,0.000
mp-760044,0.103,70.967
mp-540338,0.353,159.495
mp-766435,0.000,109.450
mp-752790,0.000,13.538
mp-10189,0.000,27.456
mp-27043,0.000,12.864
mp-776140,0.003,67.447
mp-770531,0.067,99.878
mvc-9788,0.005,89.296
mp-755014,0.000,27.940
mp-769935,77.316,232.974
mp-758530,0.000,35.779
mp-757617,0.012,41.493
mp-705637,73.255,521.199
mp-753471,0.000,31.666
mp-27094,0.000,182.698
mp-754450,3.356,35.949
mp-771820,0.000,51.140
mp-766384,0.470,87.509
mp-776829,0.000,185.787
mp-752747,0.316,30.407
mp-765841,0.000,21.012
mp-763767,2.654,99.183
mp-26611,0.081,100.769
mp-765316,0.006,60.368
mp-756904,0.000,32.558
mp-695783,0.000,174.590
mp-26177,0.005,66.829
mp-705390,0.000,263.712
mp-26163,15.393,179.413
mp-761164,0.096,102.623
mp-26605,0.000,173.988
mp-697816,0.000,74.248
mp-776430,0.000,34.981
mp-756938,0.000,55.819
mvc-11541,0.000,65.159
mp-754849,0.000,49.053
mp-764752,0.701,110.569
mp-770727,0.000,6.539
mp-777048,0.001,39.341
mp-779065,0.000,24.407
mp-585266,27.029,147.662
mp-25456,0.000,42.152
mp-766151,0.017,107.988
mp-772124,0.000,48.273
mvc-11233,7.829,24.748
mp-26639,0.235,80.710
mvc-1868,1.430,137.914
mp-766637,0.887,139.277
mp-761158,17.809,148.559
mp-776424,0.040,114.883
mp-850978,0.000,25.069
mp-753667,0.000,15.951
mp-705347,0.925,160.295
mp-755570,0.000,20.449
mp-756079,0.000,38.668
mp-753115,0.000,58.765
mp-755202,0.003,59.232
mp-766810,0.018,18.816
mp-849226,0.000,39.223
mp-26188,10.618,175.747
mp-776381,1.049,212.553
mp-761825,0.000,29.035
mp-760285,0.006,250.391
mp-771388,0.000,109.599
mp-705409,0.000,190.475
mp-558956,0.017,172.140
mp-755560,0.000,31.042
mp-705357,0.000,90.405
mp-770910,0.000,36.413
mp-757363,0.200,99.741
mp-758078,0.000,129.162
mp-776385,0.000,48.251
mp-764959,0.000,104.137
mp-774592,0.000,94.287
mp-753139,0.000,35.693
mp-771398,0.242,41.185
mvc-13391,2.442,45.874
mp-26832,0.000,57.979
mp-752541,0.136,26.102
mp-767511,0.000,64.500
mp-705380,0.133,156.811
mp-26173,0.816,42.492
mp-19383,0.386,109.210
mp-758093,0.000,46.671
mp-777716,0.000,52.580
mp-756900,0.000,31.982
mp-865737,0.000,20.031
mp-776420,1.399,84.313
mp-697806,0.477,163.240
mp-775129,0.635,282.856
mp-774237,0.000,17.878
mp-754681,0.000,37.267
mp-35899,0.008,43.105
mp-25452,0.000,30.313
mp-540894,0.000,154.298
mp-26629,0.000,50.151
mp-759158,0.000,132.349
mp-753313,0.000,51.595
mp-755762,0.823,47.271
mp-757161,1.798,42.133
mp-18274,0.000,121.540
mp-850203,0.002,44.280
mp-756257,0.109,65.962
mp-777299,0.000,44.503
mp-780611,0.001,68.576
mp-753449,2.573,137.027
mp-754332,0.231,76.419
mp-758508,15.986,196.334
mp-756525,0.496,36.174
mp-849746,0.003,138.703
mp-684477,0.007,203.524
mp-773000,0.000,56.627
mp-755979,0.000,13.265
mp-26365,0.000,101.441
mp-26403,0.000,68.158
mvc-5834,0.000,36.108
mp-752964,0.000,27.009
mp-775303,1.716,292.050
mp-540314,0.000,57.862
mp-759831,0.001,88.711
mp-504230,25.364,171.221
mp-26371,0.000,48.505
mp-778169,0.155,95.320
mp-27047,0.000,41.992
mp-763549,0.002,65.309
mp-762657,0.000,72.740
mp-759819,0.000,150.982
mp-777528,0.000,33.066
mp-752780,0.000,42.795
mp-773028,0.000,167.713
mp-25903,0.144,157.254
mp-755616,0.000,20.445
mp-758454,0.000,223.547
mp-757773,0.000,83.287
mp-774814,0.021,234.838
mp-705035,0.000,223.011
mp-753273,0.000,20.425
mp-758326,0.000,25.297
mp-759038,0.000,58.463
mp-757983,0.000,48.934
mp-26588,0.017,139.825
mp-775288,0.000,47.725
mp-757029,0.000,32.744
mp-756337,0.000,21.859
mp-684503,0.000,107.389
mp-504350,0.602,107.395
mp-777312,0.000,67.157
mp-778021,0.000,182.070
mp-851096,0.000,151.822
mp-32502,1.614,155.665
mp-775263,0.895,73.157
mp-26577,10.206,176.588
mp-26563,0.000,54.368
mp-777460,0.000,41.047
mp-32516,1.094,106.084
mp-771011,0.000,48.309
mp-851082,0.000,133.098
mp-26205,0.004,146.192
mp-773160,0.000,83.218
mp-775511,0.955,115.946
mp-779303,0.000,63.914
mp-769110,0.000,179.877
mp-772256,5.494,243.920
mp-775539,29.110,224.853
mp-752838,0.000,28.108
mp-756486,0.000,61.658
mp-776756,1.079,98.680
mp-764346,0.000,54.928
mp-774155,0.000,12.517
mp-763429,0.019,19.316
mp-26239,0.007,108.104
mp-31745,5.302,170.877
mp-766960,3.373,181.427
mp-849418,0.000,31.245
mp-851257,0.301,130.504
mp-756109,0.000,31.571
mp-758124,0.506,146.274
mp-26952,0.010,77.197
mp-697769,6.432,120.447
mp-759574,0.001,62.517
mp-756121,0.000,22.801
mp-770694,0.000,34.453
mp-780573,38.039,340.991
mp-697796,0.001,68.942
mp-778223,0.000,47.871
mp-774419,0.309,118.052
mp-771575,0.000,59.374
mp-768742,9.493,147.307
mp-25268,7.552,169.633
mp-756684,3.419,65.761
mp-25240,0.008,41.690
mp-26749,0.000,79.024
mp-26991,0.000,86.377
mp-783907,0.000,99.144
mp-754939,0.000,42.947
mp-754087,0.000,29.702
mp-26985,0.091,121.090
mp-772041,0.054,105.987
mp-769461,0.002,117.357
mp-26984,0.307,263.664
mp-753925,4.749,85.970
mp-31552,0.005,81.720
mp-766008,0.000,51.070
mp-773363,0.000,45.827
mp-25269,0.000,44.853
mp-756861,0.000,18.485
mp-697797,0.952,109.504
mp-540077,1.030,314.685
mp-753919,0.000,24.215
mp-559240,0.000,29.278
mp-780572,0.612,146.070
mp-684066,4.564,183.169
mp-26947,0.000,35.628
mp-745148,0.000,97.945
mp-756652,0.489,87.427
mp-25296,0.403,52.001
mp-777850,0.000,23.297
mp-759575,0.000,52.100
mp-757558,0.000,36.719
mp-755429,0.000,25.993
mp-770859,0.000,35.360
mp-504184,0.001,108.381
mp-758125,1.920,140.515
mp-757216,0.441,46.701
mp-753702,0.000,17.817
mp-759549,0.009,104.698
mp-757564,0.000,35.354
mp-697754,0.000,135.041
mp-770865,0.000,98.210
mp-778008,0.000,152.008
mp-755824,0.000,28.134
mp-31744,0.000,120.884
mp-771986,4.718,43.773
mp-766544,0.285,95.673
mp-754290,0.000,29.095
mp-689967,0.675,60.403
mp-767672,0.002,136.163
mp-26562,0.011,253.189
mp-773607,0.000,25.072
mp-775276,0.536,113.420
mp-26204,12.501,172.287
mp-26210,0.282,79.492
mp-504351,0.026,87.104
mp-759788,0.000,26.073
mp-760109,75.859,244.221
mp-777475,0.003,59.205
mp-756450,0.000,2.214
mp-752636,0.000,17.177
mp-27683,0.000,21.392
mp-684502,1.115,261.660
mp-705008,0.032,294.430
mp-772294,0.000,78.678
