Battid,helvol,geomvol
mp-80,0.000,10.659
mvc-5367,0.000,40.836
mvc-13593,0.000,141.186
mp-1048695,0.245,41.381
mp-540430,2.538,80.222
mp-1043219,0.052,82.738
mp-1046309,3.155,181.406
mvc-12283,0.013,137.534
mvc-12170,0.000,72.498
mp-1044716,5.336,76.692
mp-1042994,0.129,120.072
mvc-5816,0.000,15.774
mp-1043406,0.384,216.710
mp-1041166,0.000,101.191
mp-1046724,0.000,31.344
mp-38816,0.034,75.378
mvc-5760,2.389,105.830
mp-1043800,0.067,65.496
mp-1046508,0.281,109.524
mvc-12866,0.000,6.360
mp-1041862,0.000,74.141
mvc-14167,7.182,92.180
mp-1041045,0.006,133.956
mp-1041629,0.000,3.784
mp-1042581,0.025,48.699
mvc-13666,0.004,50.553
mp-1046192,4.208,163.321
mvc-1,0.000,46.676
mvc-5692,0.000,52.471
mp-1040982,0.003,141.792
mp-1048235,5.022,89.122
mp-1041145,0.000,149.329
mp-1040980,0.000,133.792
mvc-6377,0.167,226.681
mp-1046410,0.019,58.935
mp-1047267,0.015,71.506
mp-1047639,0.847,24.510
mp-1041928,0.000,18.908
mvc-5121,3.765,172.637
mp-1041000,0.000,94.884
mvc-13706,0.000,42.606
mp-1043388,0.000,49.641
mvc-5570,0.000,44.879
mp-510748,0.002,69.161
mvc-12312,0.001,148.934
mvc-6284,12.522,169.739
mp-1044823,0.000,164.679
mp-1047628,0.000,52.352
mvc-34,0.000,54.991
mp-1040961,0.574,204.432
mvc-12657,0.310,38.716
mvc-3518,0.030,139.627
mvc-3430,0.007,86.507
mvc-11034,0.010,38.252
mp-1042297,0.030,24.392
mvc-6353,0.005,134.940
mp-1041491,0.000,66.834
mp-1043077,0.071,38.815
mvc-5073,14.774,146.750
mp-1041181,0.000,86.111
mp-540000,0.092,41.116
mp-1043837,1.003,102.905
mp-1046839,0.000,51.886
mp-1044829,0.610,188.515
mp-1043162,0.000,23.735
mp-27872,0.570,37.516
mp-1042618,0.000,101.334
mp-1044207,15.251,222.880
mvc-13578,2.147,125.075
mp-714969,3.698,75.951
mvc-12846,0.000,37.939
mp-1043652,0.342,228.949
mvc-9231,0.000,131.856
mp-1046407,1.131,143.533
mp-1045420,0.026,76.439
mp-1042331,0.000,246.509
mp-1043595,0.000,144.672
mp-25502,0.000,30.698
mp-1047659,0.000,7.901
mp-1048779,0.000,36.326
mvc-13330,0.003,174.357
