Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,P_vol,Sn_vol,As_vol,N_vol,V_vol,Mo_vol,Mn_vol,Ni_vol,Bi_vol,Te_vol,Fe_vol,Ti_vol,Nb_vol,S_vol,Ge_vol,F_vol,Ta_vol,Sb_vol,Cr_vol,Si_vol,Co_vol,Mg_vol,W_vol,Sr_vol,Se_vol,Pr_vol,Ba_vol,O_vol,Cu_vol,P_vol_dis,Sn_vol_dis,As_vol_dis,N_vol_dis,V_vol_dis,Mo_vol_dis,Mn_vol_dis,Ni_vol_dis,Bi_vol_dis,Te_vol_dis,Fe_vol_dis,Ti_vol_dis,Nb_vol_dis,S_vol_dis,Ge_vol_dis,F_vol_dis,Ta_vol_dis,Sb_vol_dis,Cr_vol_dis,Si_vol_dis,Co_vol_dis,Mg_vol_dis,W_vol_dis,Sr_vol_dis,Se_vol_dis,Pr_vol_dis,Ba_vol_dis,O_vol_dis,Cu_vol_dis
mvc-1200009197,mp-1044303,mp-1044382,MgTiCr(PO4)3,intercalation,R3c,3.89,131,401,510,1561,0.05,0.0,12.904272230152415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301424076717471,0.0,0.0,0.0,0.0,0.0,0.0,4.301424076717471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61708892060966,0.0,13.503565223669392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5011884078897975,0.0,0.0,0.0,0.0,0.0,0.0,4.5011884078897975,0.0,0.0,4.5011884078897975,0.0,0.0,0.0,0.0,0.0,54.01426089467757,0.0
mvc-1200002198,mp-1045773,mp-1045799,MgCo(PO3)4,intercalation,C2/c,4.55,134,405,611,1842,0.06,0.0,17.533299783331202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3833249458328005,0.0,0.0,0.0,0.0,0.0,0.0,52.599899349993606,0.0,18.088050687891993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.522012671972998,4.522012671972998,0.0,0.0,0.0,0.0,0.0,54.26415206367597,0.0
mvc-1200001216,mp-1048235,mp-689964,Mg0 –1CoP2O7,intercalation,P21/c,4.15,208,716,865,2973,0.12,0.0,14.820539041100496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.410269520550248,0.0,0.0,0.0,0.0,0.0,0.0,51.87188664385173,0.0,16.029431688921477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.014715844460738,8.014715844460738,0.0,0.0,0.0,0.0,0.0,56.10301091122517,0.0
mvc-1200002343,mp-2343,mp-55,Mg0 –2Sn,intercalation,Fm3m,0.16,641,2248,101,355,0.05,0.0,0.0,35.94103243943757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628387842905916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25677568581183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvc-1200012825,mp-769657,mp-540000,Mg0 –0.5CoO2,intercalation,Fd3m,3.35,260,1309,872,4389,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6176016376343,0.0,0.0,0.0,0.0,0.0,0.0,63.2352032752686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.40515016271475,14.702575081357375,0.0,0.0,0.0,0.0,0.0,58.8103003254295,0.0
mvc-1200032006,mp-32006,mp-25545,Mg0 –0.5MnO2,intercalation,I41/amd,2.86,270,1113,775,3189,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.592961956038096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.18592391207619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.013156162046087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.506578081023044,0.0,0.0,0.0,0.0,0.0,50.026312324092174,0.0
mvc-1200005692,mvc-5692,mp-714969,Mg0 –0.5MoO2,intercalation,R3m,2.32,191,999,444,2319,0.23,0.0,0.0,0.0,0.0,0.0,0.0,21.768310503294746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.53662100658949,0.0,0.0,0.0,0.0,0.0,0.0,22.44642754921947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.223213774609736,0.0,0.0,0.0,0.0,0.0,44.89285509843894,0.0
mvc-1200008349,mp-1043189,mp-1043245,MgCo(GeO3)2,intercalation,C2/c,3.76,165,785,621,2950,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.084195461539984,0.0,0.0,0.0,0.0,0.0,8.542097730769992,0.0,0.0,0.0,0.0,0.0,0.0,51.252586384619946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61164930048737,0.0,0.0,0.0,0.0,0.0,8.805824650243686,8.805824650243686,0.0,0.0,0.0,0.0,0.0,52.834947901462115,0.0
mvc-1200540570,mp-540570,mvc-12771,Mg0.5 –1VO3,intercalation,Ccmm,2.58,217,612,561,1580,0.02,0.0,0.0,0.0,0.0,0.0,14.178749478303454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089374739151727,0.0,0.0,0.0,0.0,0.0,42.53624843491036,0.0,0.0,0.0,0.0,0.0,13.759406438035281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.759406438035281,0.0,0.0,0.0,0.0,0.0,41.27821931410584,0.0
mvc-1200001233,mp-1048275,mp-697788,Mg0 –1MnP2O7,intercalation,P21/c,4.02,212,688,850,2762,0.12,0.0,14.952936140666504,0.0,0.0,0.0,0.0,0.0,7.476468070333252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.33527649233277,0.0,15.391172570327127,0.0,0.0,0.0,0.0,0.0,7.6955862851635635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6955862851635635,0.0,0.0,0.0,0.0,0.0,53.86910399614494,0.0
mvc-1200772325,mp-772325,mp-765763,MgCr(SO4)2,intercalation,R3,5.07,71,200,359,1014,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.279065056293968,0.0,0.0,0.0,0.0,6.639532528146984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.11626022517587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.490769963192474,0.0,0.0,0.0,0.0,6.745384981596237,0.0,0.0,2.2484616605320786,0.0,0.0,0.0,0.0,0.0,53.963079852769894,0.0
mvc-1200565256,mp-565256,mvc-13593,MgFe(SiO3)2,intercalation,Pcab,3.39,231,800,782,2711,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.591988107726333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.183976215452667,0.0,4.295994053863167,0.0,0.0,0.0,0.0,0.0,51.551928646358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.990259540455575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98051908091115,0.0,8.990259540455575,0.0,0.0,0.0,0.0,0.0,53.94155724273346,0.0
mvc-1200008763,mp-1043685,mp-774537,MgTi2(PO4)3,intercalation,R3c,2.6,132,398,344,1032,0.01,0.01,12.908869591286683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60591306085779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63547836514673,0.0,13.365624241032771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.910416160688515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455208080344257,0.0,0.0,0.0,0.0,0.0,53.462496964131084,0.0
mvc-1200007974,mp-1042773,mp-1042875,Mg0 –1MnAs2O7,intercalation,P21/c,3.92,157,615,616,2411,0.14,0.01,0.0,0.0,13.346116145870342,0.0,0.0,0.0,6.673058072935171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7114065105462,0.0,0.0,0.0,13.811136137228042,0.0,0.0,0.0,6.905568068614021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.905568068614021,0.0,0.0,0.0,0.0,0.0,48.33897648029815,0.0
