Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-300771615,mp-756796,mp-772042,TiVO4,intercalation,Imcm,1.3862105649999996,151.68810095235725,584.7900964916405,210.27164812494408,810.6422100640813,0.0,0.02526167299107129
mp-300781697,mp-754724,mp-769557,MnNbO4,intercalation,Imcm,1.332965299999992,118.73562129631613,533.6217757095089,158.27046306192946,711.2993103451539,0.08267058892857193,0.10516259421875064
mp-300771635,mp-755466,mp-850203,NbVO4,intercalation,Imma,1.3060672850000057,120.87578116109106,557.4927986101432,157.871903323321,728.1231058878045,0.058924805803570734,0.1026577074999997
mp-300778560,mp-777547,mp-753560,VPHO5,intercalation,P-1,1.3349024849999944,151.59020672084273,432.848060960354,202.3581436533158,577.8099522034056,1.7763568394002505e-15,0.07897864030281633
mp-300765837,mp-752889,mp-759471,VO5F,intercalation,P1,1.3428926200000086,130.44311671950888,334.5680955721404,175.1710987724282,449.28902643128487,0.06620321589285805,0.04735164800000025
mp-300764013,mp-764013,mp-777666,V3CrO8,intercalation,Cc,1.4969595433333356,218.77522863914248,861.8098114362068,327.49766635629686,1290.094421767732,0.02504702180059581,0.0835225870588232
mp-300780086,mp-780086,mp-753376,Mn(O2F)2,intercalation,P-1,1.4263831199999908,126.14810037949584,310.1597120814571,179.9355210013773,442.4065778170475,0.06341359428571369,0.07192084766666618
mp-300038280,mp-38280,mp-390,TiO2,intercalation,I4_1/amd,1.43333418,308.748650449967,1258.6038585987774,442.53999371881014,1803.9999296095145,0.0060601741666665996,0.0
mp-300754210,mp-754210,mp-756173,FeS4,intercalation,P4_2/nmc,1.4013208599999991,118.72143357008473,240.20617469172316,166.36682139086392,336.6059232963156,0.0624640620000001,0.0898252877272725
mp-300774863,mp-774863,mp-767469,Ni9S10,intercalation,P-1,1.4289862999999992,31.316303756346684,165.84166844290047,44.75056903445793,236.98547217404698,0.08609490684210462,0.10172153762500002
mp-300540004,mp-504103,mp-504110,WO2,intercalation,Fd-3m,1.4626602149999934,61.104299612192,487.36808698750144,89.37482800819276,712.8539108972743,0.2640781575000002,0.3239231378571432
mp-300762374,mp-762374,mp-775122,LaNb4O12,intercalation,C2/m,1.46114384,12.55141591640483,58.20913315904225,18.33942404953287,85.05191634707435,0.06853682138888928,0.08045281603787835
mp-300768754,mp-768754,mp-768490,Bi2(SO4)3,intercalation,P2_1/c,1.4459693650000045,37.5850136502905,158.3853401084819,54.34677832142705,229.0203496619713,0.005179771176470282,0.0891790604861109
mp-300763837,mp-759637,mp-555920,Na2SrVP2O9,intercalation,P2_1cn,1.435764634999992,67.43797905300714,221.38062950388363,96.82506538017792,317.85047871571203,0.0,0.07512444534722107
