Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mvc-1200006508,mp-1041507,mvc-6713,MgNi3(AsO4)4,intercalation,P21/c,4.43,200,826,885,3657,0.33,0.05
mvc-1200005119,mvc-5119,mp-25502,MgCr(SiO3)2,intercalation,C2/c,2.37,235,753,555,1782,0.11,0.05
mvc-1200009996,mp-1048900,mvc-11089,Mg0 –0.5VO2,intercalation,R3m,2.54,282,1132,715,2871,0.22,0.05
mvc-1200011476,mvc-11476,mvc-11241,Mg0 –0.25VS2,intercalation,R3m,0.99,111,376,110,373,0,0.05
mvc-1200007648,mp-1042542,mvc-11380,Mg0 –1V2CoO7,intercalation,P21/c,3.6,180,662,650,2385,0.14,0.05
mvc-1200008398,mvc-8398,mvc-8359,MgCr(GeO3)2,intercalation,C2/c,2.61,169,763,440,1991,0.1,0.05
mvc-1200009206,mp-773444,mvc-13330,Mg0 –1V3O7,intercalation,Pcmn,2.62,185,639,485,1671,0.07,0.05
mvc-1200675435,mp-675435,mp-676910,Mg0 –1Mo3Se4,intercalation,P1,0.79,85,524,67,412,0.06,0.05
mvc-1200008414,mvc-8414,mp-1044071,Mg0 –1CrNiP2O9,intercalation,Pmcn,3.83,157,555,602,2124,0.1,0.05
mvc-1200009144,mp-1044166,mp-1044207,Mg0 –1CrBiO5,intercalation,P21/c,3.47,147,771,509,2677,0.13,0.05
mvc-1200010539,mp-1047808,mp-1047928,Mg0 –1Mn3P3O13,intercalation,P21/m,3.38,109,372,370,1257,0.04,0.05
mvc-1200000898,mp-1040887,mp-540486,MgFe3(P2O7)2,intercalation,P21/c,2.31,99,357,230,826,0.04,0.05
mvc-1200019139,mp-19139,mp-1046644,Mg0 –2Mo3O8,intercalation,P63mc,2.98,231,1100,688,3280,0.33,0.05
mvc-1200016768,mp-1045420,mp-38816,Mg0 –0.5TiS2,intercalation,Ibmm,0.92,216,705,198,646,0.02,0.05
mvc-1200003736,mvc-3736,mp-765928,Mg0 –1VF5,intercalation,P21/c,3.66,315,989,1154,3624,0.03,0.05
mvc-1200005456,mvc-5456,mp-1042045,Mg0 –0.5NiO2,intercalation,Cm,3.88,261,1260,1011,4888,0.33,0.05
mvc-1200010188,mp-1041071,mp-1040936,Mg0 –0.5CoPO4,intercalation,C2/c,3.84,161,588,620,2262,0.14,0.05
mvc-1200015644,mvc-15644,mp-715584,Mg0 –1MoO3,intercalation,Pbnm,2.09,319,1590,667,3327,0,0.06
mvc-1200006963,mp-1042090,mp-1047762,Mg0 –0.5NiO2,intercalation,Pcmb,3.77,261,1375,982,5185,0.3,0.06
mvc-1200006921,mp-1041928,mvc-12283,Mg0 –0.5MnO2,intercalation,Pcmb,2.64,270,1242,713,3274,0.03,0.06
mvc-1200007825,mp-1042624,mvc-10959,Mg0 –1VBiO5,intercalation,Pcab,4.19,147,811,617,3399,0.35,0.06
mvc-1200008342,mp-1043215,mp-1044247,Mg0 –1NiSnP2O9,intercalation,Pmcn,4.03,131,510,529,2052,0.15,0.06
mvc-1200019574,mp-19574,mvc-12287,MgFe2(SiO4)3,intercalation,Ia3d,4.72,116,434,549,2050,0.23,0.06
mvc-1200007942,mp-1042695,mp-1043013,Mg0 –2Cr3O8,intercalation,P63mc,4.05,322,1263,1305,5115,0.38,0.06
mvc-1200009987,mp-1048911,mp-770908,Mg0 –0.5CoO2,intercalation,R3m,3.3,260,1281,858,4228,0.11,0.06
mvc-1200008885,mp-1043800,mvc-11633,Mg0 –0.5VPO5,intercalation,F2dd,3.07,154,540,473,1659,0.09,0.06
mvc-1200010166,mp-1041045,mp-1048924,Mg0 –0.5FePO4,intercalation,C2/c,3.24,164,571,533,1850,0.18,0.06
mvc-1200008656,mp-1043525,mp-1043728,MgMn(Si2O5)2,intercalation,P4/ncc,3.46,152,436,528,1510,0.18,0.06
mvc-1200016779,mp-1045474,mvc-34,Mg0 –0.5MnS2,intercalation,Imma,1.06,204,671,216,708,0.01,0.06
mvc-1200019581,mp-19581,mvc-15182,MgCr2(SiO4)3,intercalation,Ia3d,3.99,355,1314,1415,5236,0.39,0.06
mvc-1200006707,mp-1041677,mvc-5322,Mg0 –1SnP2O7,intercalation,P1,2.32,169,648,393,1505,0.11,0.06
mvc-1200014220,mvc-14220,mvc-14217,Mg0 –1MoF5,intercalation,C2/c,3.31,249,878,825,2911,0.05,0.06
mvc-1200000843,mp-1043361,mp-770908,Mg0 –0.5Ni2O3,intercalation,Cmcm,3.97,151,860,599,3413,0.25,0.06
mvc-1200007972,mp-1042772,mvc-11633,Mg0 –1CrAs2O7,intercalation,P21/c,3.38,159,623,536,2107,0.12,0.06
mvc-1200000867,mp-1043564,mp-540500,MgCo3(P2O7)2,intercalation,P21/c,3.09,98,364,302,1124,0.03,0.06
mvc-1200000865,mp-1045474,mvc-34,MgMn3(P2O7)2,intercalation,P21/c,2.69,100,343,269,924,0.02,0.06
mvc-1200004650,mp-19581,mvc-15182,Mg0 –0.5TiO2,intercalation,Cm,1.16,291,1145,338,1327,0.18,0.06
mvc-1200008200,mp-1042428,mvc-5322,Mg0 –1Bi2O5,intercalation,Cmcm,3.36,103,689,345,2313,0.14,0.06
mvc-1200008664,mvc-14220,mvc-14217,MgFe(Si2O5)2,intercalation,P4/ncc,3.45,152,445,525,1534,0.19,0.06
mvc-1200008321,mvc-5203,mvc-5466,MgCr4(CuO4)3,intercalation,Im3,2.7,87,451,236,1219,0.03,0.07
mvc-1200003750,mp-1043098,mp-1043595,Mg0 –1MoF5,intercalation,P21/c,3.29,249,877,819,2886,0.05,0.07
mvc-1200012636,mp-1043361,mp-1043875,Mg0 –0.5NiO2,intercalation,Pmnb,3.39,261,1393,883,4719,0.18,0.07
