mid,helvol,geomvol
mvc-12664,216.471,183.546
mvc-3948,214.447,184.206
mvc-5928,968.175,561.912
mp-1045866,293.105,258.564
mp-1045307,97.663,122.169
mp-554955,54.754,94.477
mvc-13578,10955.476,789.691
mvc-15363,211.697,157.452
mp-1040870,3614.013,696.177
mp-540273,404.011,248.027
mvc-5112,302.122,199.130
mp-769657,94.592,120.795
mvc-5864,1098.581,449.505
mp-1044267,1269.714,433.499
mp-765763,1183.801,418.304
mp-1042757,1762.637,555.141
mp-1041066,579.316,419.886
mp-1043381,200.029,170.881
mvc-4866,232.549,188.237
mp-1041454,240.707,215.317
mp-1190609,351.324,261.628
mp-19574,12524.587,791.684
mp-1048695,203.057,195.619
mp-1044814,2487.764,650.407
mp-1040927,2208.904,696.935
mp-1042060,395.289,231.700
mp-1044162,735.738,344.222
mp-1046728,105.864,128.515
mvc-9231,1606.822,622.360
mp-1043529,1797.206,494.025
mvc-13666,351.090,226.841
mp-1117059,262.486,212.914
mvc-11581,92.819,125.584
mp-1048590,2235.236,559.285
mp-1047303,201.379,163.878
mvc-5565,910.814,374.254
mp-1043760,7371.574,907.945
mvc-12771,98.986,128.361
mvc-15888,258.961,190.073
mp-1043098,2714.061,622.180
mp-1041840,12187.500,865.481
mp-1046839,516.036,304.491
mp-1044639,1352.478,456.961
mvc-13490,321.435,241.127
mvc-15644,315.963,213.707
mvc-5115,325.688,207.373
mp-1043159,210.593,195.911
mp-1042629,4249.528,1199.874
mvc-11093,96.155,136.672
mvc-10450,1674.919,631.637
mp-32527,1259.242,423.353
mvc-15495,120.511,130.657
mp-690058,1681.794,486.533
mp-1043388,250.077,232.017
mvc-13203,518.607,373.316
mp-1045938,212.952,171.019
mvc-11086,200.879,194.742
mvc-3430,843.207,442.801
mp-1041256,529.263,377.368
mvc-11600,30.812,41.101
mvc-3816,623.095,412.155
mp-19003,211.390,196.893
mp-1041473,2291.573,648.271
mvc-6176,1952.215,707.979
mp-558836,97.824,127.093
mp-1043550,7920.017,794.893
mvc-5367,387.498,232.341
mp-1045889,295.979,248.918
mp-1043432,295.922,269.895
mvc-14224,209.564,192.700
mp-1043162,318.542,196.126
mp-1047927,1361.098,480.131
mvc-11923,380.790,234.899
mp-770397,112.291,128.880
mp-1042861,1854.527,604.939
mp-1043183,167.654,176.111
mp-2343,13.453,32.170
mp-1047859,1398.033,537.168
mvc-11632,866.790,468.032
mp-714969,157.145,173.953
mvc-6353,913.545,552.780
mvc-5570,388.177,231.405
mp-18900,137.527,152.408
mp-687212,1227.396,416.632
mvc-13134,186.999,178.901
mvc-12276,7008.999,829.111
mp-1047618,116.037,127.801
mp-1041003,3742.623,711.076
mp-1048114,1194.959,538.599
mp-25301,275.613,193.020
mvc-12592,141.934,140.105
mp-1048900,136.683,151.807
mp-1043826,6542.565,815.422
mp-1047807,1814.135,740.080
mp-1047421,250.260,218.366
mp-1046893,297.658,224.772
mp-1116755,134.712,154.971
mp-1046590,218.584,203.319
mp-1042617,25179.014,1196.937
mp-1046724,185.659,160.364
mvc-12603,161.609,150.595
mvc-12231,153.762,149.090
mp-1042667,262.727,207.639
mp-1043525,7399.290,775.297
mvc-11142,60.133,102.448
mvc-10961,551.791,353.135
mp-1044309,1336.574,414.325
mp-1043300,225.462,220.750
mp-1046421,624.719,321.815
mp-1044052,758.827,335.244
mp-1046915,187.982,176.993
mp-1042286,8639.474,994.978
mp-1043494,281.874,260.054
mp-1041097,854.739,467.940
mp-1041862,12434.826,881.750
mp-1044207,1005.716,537.742
mp-1045833,279.366,257.434
mp-1042747,1902.895,588.404
mp-1042928,992.033,532.956
mvc-5119,349.268,215.475
mvc-4964,1373.382,614.873
mp-1040886,2893.926,634.230
mvc-14468,907.303,480.839
mp-1045982,293.775,248.168
mp-80,6.077,31.977
mvc-15884,109.884,144.085
mp-1047643,112.278,124.375
mp-1044452,1497.440,717.770
mp-714883,42.497,72.111
mvc-15182,10743.624,771.853
mp-1041261,2717.805,625.091
mp-1042864,303.585,209.354
mp-1043700,6676.125,823.759
mvc-11637,1335.255,482.532
mvc-11755,465.788,316.914
mp-540180,1766.112,505.684
mp-1118049,84.567,116.659
mp-1040952,1888.636,537.191
mvc-14697,164.331,176.463
mp-1045788,1372.481,439.268
mp-540321,398.197,246.288
mp-1043245,283.952,200.315
mp-775220,1341.686,431.162
mvc-6187,2190.676,623.999
mp-1046820,210.493,206.839
mvc-13940,71.039,110.595
mp-1043379,236.455,222.144
mp-1046883,259.294,209.130
mp-1045826,260.100,245.554
mp-1047608,1850.656,623.878
mvc-13124,374.989,256.649
mp-677217,496.403,281.459
mvc-14364,697.011,377.925
mvc-14378,343.023,250.010
mvc-34,228.228,188.192
mp-1044823,2762.201,679.139
mvc-12287,10516.557,758.292
mp-1040910,651.023,436.269
mp-1042921,316.896,249.404
mp-33325,1336.144,616.180
mvc-13651,13.041,48.244
mp-540363,370.824,231.919
mp-1044853,682.244,451.856
mp-1042577,148.195,137.985
mvc-12638,132.666,131.816
mvc-5816,318.235,228.728
mvc-8414,2895.026,630.872
mvc-5627,521.382,366.353
mp-1041845,12331.810,887.177
mp-1042710,235.340,219.967
mvc-15456,75.424,115.785
mvc-15870,241.061,217.589
mp-1046508,3023.131,650.080
mp-1047285,340.806,263.126
mp-1043530,1549.795,456.441
mvc-11598,35.838,47.227
mp-1042672,18079.842,1266.816
mp-1043013,393.907,292.534
mvc-10959,3754.726,1051.156
mvc-5746,749.591,368.975
mp-1047639,101.373,115.548
mp-1048843,6788.113,822.549
mvc-13445,21.502,55.539
mp-1041140,1504.488,482.189
mvc-12615,446.149,317.822
mp-697788,1796.040,517.497
mp-1041629,398.393,264.850
mp-1041677,542.769,249.874
mp-1043316,323.682,210.468
mvc-2078,23.948,57.241
mp-1045734,230.321,190.091
mvc-12122,1512.789,631.524
mp-1047337,520.430,323.092
mp-1047808,1415.333,464.941
mvc-15486,140.178,155.781
mvc-3453,629.189,383.302
mp-1041889,167.509,168.947
mp-1043501,297.091,207.310
mp-1040982,2632.166,654.235
mp-25519,44.766,63.575
mvc-4902,217.254,180.937
mvc-12627,167.639,155.171
mvc-5774,74.751,95.943
mvc-11089,96.777,128.521
mvc-12657,218.007,188.885
mp-1044303,1318.204,411.350
mp-1045937,263.708,231.315
mp-1047267,190.208,175.001
mvc-12866,15.099,23.569
mvc-13330,1151.426,602.817
mp-1046283,213.691,182.608
mp-1044164,724.411,350.766
mp-1047928,1251.499,448.002
mvc-5121,2486.753,624.148
mp-1040921,852.224,469.024
mp-1047375,231.690,183.046
mp-1043716,1478.974,509.010
mvc-11138,421.472,274.063
mp-1041727,1272.215,448.297
mvc-5026,325.769,216.933
mp-1042817,2003.304,539.171
mvc-12425,154.522,142.523
mp-1046309,10711.359,846.237
mvc-5134,320.804,205.076
mp-1046410,648.573,307.013
mp-1041149,2809.538,598.789
mvc-8359,332.920,211.817
mp-1043703,1461.237,450.114
mp-1043253,244.975,219.174
mp-1042608,196.194,191.065
mp-694636,416.072,248.695
mvc-11423,121.772,132.676
mp-1041088,2469.686,643.342
mp-1046357,466.987,308.283
mp-1043564,1773.397,468.104
mvc-12312,2652.712,665.824
mp-1044829,6343.015,731.718
mp-1043406,7008.202,829.478
mp-1043303,185.124,189.917
mvc-5456,1131.591,555.570
mvc-11234,36.584,46.858
mp-19139,519.153,307.614
mvc-12953,231.306,201.602
mp-1043373,274.282,217.180
mvc-11244,182.782,166.241
mvc-11986,113.448,137.674
mp-1046916,203.042,179.048
mp-1045643,242.847,241.008
mvc-5692,170.754,167.312
mp-1043556,889.753,332.048
mvc-5203,1098.046,546.455
mp-1044716,201.844,196.691
mvc-5485,604.103,429.779
mp-1047381,181.652,151.739
mp-1040928,2768.647,677.934
mp-540000,102.741,113.861
mp-38816,287.128,224.458
mp-1047057,3842.777,657.870
mp-1042994,860.952,481.751
mp-1043526,7632.116,771.925
mp-1041391,1174.787,540.759
mp-1047145,138.969,152.013
mvc-11658,101.274,135.511
mp-1041475,2339.952,680.775
mp-1043444,1340.695,445.861
mvc-4503,11435.369,860.376
mvc-13694,79.196,118.344
mvc-14215,156.916,171.386
mp-1047060,265.610,201.604
mp-1042373,7147.700,804.050
mvc-13841,16.559,51.383
mp-1043728,6965.708,841.531
mp-1041000,703.593,417.722
mp-32343,1215.659,426.482
mp-714944,28.102,65.793
mp-1044751,314.861,241.292
mvc-12205,269.717,252.238
mp-779941,304.598,253.594
mvc-12012,208.960,177.023
mvc-2213,1206.397,435.824
mp-1043180,197.078,190.663
mvc-12170,528.390,378.024
mp-1041583,422.220,279.990
mp-1041491,12760.652,872.769
mp-1044910,1894.842,612.394
mvc-2263,257.282,238.851
mp-1041928,419.014,282.432
mp-1041375,578.345,339.130
mvc-3935,9035.519,837.062
mp-676910,2031.791,647.896
mp-1041470,1484.500,645.483
mp-773444,1243.065,550.117
mvc-4499,7214.930,833.940
mvc-12083,166.437,180.084
mp-1042331,8273.057,979.634
mp-1042428,9079.905,897.917
mp-1047659,129.771,134.325
mvc-3736,583.482,350.808
mvc-11380,4922.493,1060.320
mp-1042773,2016.148,557.406
mp-1046640,2257.862,584.272
mp-765928,580.044,407.542
mp-1043685,1345.787,415.595
mp-1044382,1269.584,430.453
mvc-13642,127.692,154.973
mp-1045724,211.673,180.700
mvc-3898,14647.498,854.899
mvc-11241,36.238,47.624
mp-1041705,2400.585,673.290
mp-540262,390.688,242.261
mp-1043299,270.228,222.075
mp-1044937,3056.813,655.635
mp-1044208,143.683,165.971
mvc-6377,1384.292,690.605
mp-566152,905.502,442.951
mp-1048245,2012.736,495.691
mp-1042571,220.073,183.303
mp-1043363,246.321,230.174
mp-1041196,1382.840,488.412
mvc-5074,1412.422,620.929
mp-1041240,2540.811,568.984
mvc-12565,116.331,120.574
mvc-5860,3627.563,762.271
mp-1043595,2572.394,652.249
mp-19202,113.698,136.049
mp-1048235,1953.038,475.316
mp-1048765,263.999,182.608
mvc-5116,342.807,215.264
mvc-14055,459.410,320.592
mp-1041465,1696.618,521.498
mvc-12610,197.734,166.823
mp-1045970,292.683,248.351
mp-1041507,2242.373,637.986
mvc-91,328.084,242.047
mp-1041145,2977.527,627.414
mp-1040938,734.899,441.931
mvc-15669,435.810,236.901
mp-1048924,1819.681,593.904
mp-1047047,1832.540,511.176
mp-540010,166.458,178.732
mp-1043189,324.198,198.101
mp-1046958,4400.159,602.147
mp-1044699,179.679,171.781
mp-1043960,2054.095,490.161
mvc-4648,5938.449,854.779
mp-1046562,216.850,204.261
mp-1043243,1513.162,435.470
mp-1043195,295.577,206.784
mp-1042618,3972.419,840.327
mp-763405,133.485,150.624
mp-1045773,1319.539,419.214
mvc-3950,258.316,213.197
mp-1047300,194.756,166.042
mvc-2949,183.447,190.394
mp-1042695,428.132,270.948
mp-1043448,1778.295,461.445
mp-1044867,2141.522,633.611
mvc-13181,887.478,561.654
mp-1040954,2537.395,642.325
mp-1048889,130.709,146.442
mp-1048779,376.949,228.125
mp-1047075,467.769,322.982
mvc-6284,1888.408,678.957
mvc-15844,197.969,193.982
mp-1048259,1955.194,466.774
mp-504100,87.432,129.029
mvc-5548,654.648,441.436
