Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,helvol,geomvol,helvol_dis,geomvol_dis
mvc-1200010532,mp-1041461,mp-1047927,Mg0 –1V3P3O13,intercalation,P21/m,2.44,112,364,273,888,0.03,0.05,0.231,120.03299999999999,0.0,86.611
mvc-1200005074,mvc-5074,mvc-5310,Mg0 –0.5VO2,intercalation,Cm,2.3,282,1136,648,2612,0.14,0.05,0.026000000000000002,154.02100000000002,0.14,170.377
mvc-1200010057,mp-1040902,mvc-12174,Mg0 –0.5CrPO4,intercalation,C2/c,2.73,168,562,459,1531,0.21,0.05,0.0,120.647,0.079,143.143
mvc-1200010148,mp-1041008,mp-1040954,Mg0 –1Mn2P2O9,intercalation,Pmcn,3.45,158,538,544,1857,0.05,0.05,0.0,127.98200000000001,0.0,99.47200000000001
mvc-1200005960,mp-1047222,mvc-5774,Mg0 –2CrWO6,intercalation,R3,3.02,282,1644,851,4965,0.18,0.05,3.74,40.133,0.436,22.441
mvc-1200000859,mp-1043448,mp-32394,MgNi3(P2O7)2,intercalation,P21/c,3.72,98,375,364,1396,0.06,0.05,0.039,121.406,2.2569999999999997,101.139
mvc-1200008438,mvc-8438,mvc-8434,MgCr(GeO3)2,intercalation,P21/c,2.63,169,727,444,1910,0.11,0.05,0.001,84.564,0.0,58.497
mvc-1200004503,mvc-4503,mvc-4499,MgCr2(GeO4)3,intercalation,Ia3d,3.93,274,1218,1077,4789,0.32,0.05,11.716,191.96400000000003,9.919,153.67700000000002
mvc-1200010158,mvc-3430,mp-1041062,Mg0 –1Fe2P2O9,intercalation,Pmcn,3.99,157,539,626,2153,0.15,0.05,0.067,161.165,0.006999999999999999,86.507
mvc-1200003430,mvc-3430,mvc-3518,Mg0 –1BiF5,intercalation,P21/c,4.68,163,771,764,3605,0.0,0.08,0.03,139.627,0.006999999999999999,86.507
mvc-1200677217,mp-676282,mp-677217,Mg0 –1Mo3S4,intercalation,P1,0.82,122,604,100,498,0.07,0.05,0.006,62.183,0.0,88.13600000000001
mvc-1200006508,mp-1041507,mvc-6713,MgNi3(AsO4)4,intercalation,P21/c,4.43,200,826,885,3657,0.33,0.05,12.872,171.00099999999998,0.221,123.141
mvc-1200005119,mvc-5119,mp-25502,MgCr(SiO3)2,intercalation,C2/c,2.37,235,753,555,1782,0.11,0.05,0.0,30.698,0.0,39.416
mvc-1200009996,mp-1048900,mvc-11089,Mg0 –0.5VO2,intercalation,R3m,2.54,282,1132,715,2871,0.22,0.05,0.0,31.261999999999997,0.0,27.22
mvc-1200011476,mvc-11476,mvc-11241,Mg0 –0.25VS2,intercalation,R3m,0.99,111,376,110,373,0.0,0.05,8.426,27.653000000000002,0.026000000000000002,65.52199999999999
mvc-1200007648,mp-1042542,mvc-11380,Mg0 –1V2CoO7,intercalation,P21/c,3.6,180,662,650,2385,0.14,0.05,2.767,279.10400000000004,0.0,224.65599999999998
mvc-1200008398,mvc-8398,mvc-8359,MgCr(GeO3)2,intercalation,C2/c,2.61,169,763,440,1991,0.1,0.05,1.358,52.95399999999999,0.0,20.733
