Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,helvol,geomvol,helvol_dis,geomvol_dis
mvc-1200005367,mvc-5367,mvc-5367,Mg0 –1TiP2O7,intercalation,P1,0.8,218,702,174,563,0.1,0.24,0.0,40.836,0.0,40.836
mvc-1200012657,mvc-12657,mvc-12603,Mg0.25 –1FeO2,intercalation,C2/m,1.8,358,1355,645,2436,0.15,0.24,0.0,40.159,0.31,38.716
mvc-1200014055,mvc-14055,mvc-11309,Mg0 –1Cr2S5,intercalation,Pmnm,1.46,186,530,272,776,0.29,0.24,0.7390000000000001,148.605,0.0,38.781
mvc-1200004902,mvc-4902,mp-1042577,Mg0 –1NiO2,intercalation,P1,2.81,466,1889,1311,5313,0.16,0.24,0.0,22.998,0.265,37.695
mvc-1200009171,mp-1042577,mp-1044455,Mg0 –1Cr3O7,intercalation,Pcmn,2.52,183,650,462,1638,0.15,0.25,0.106,189.817,0.0,22.998
mvc-1200011394,mvc-3948,mvc-15502,Mg0 –1Cr2O5,intercalation,Pmnm,2.49,257,928,641,2314,0.09,0.25,0.001,49.486999999999995,0.0,31.399
mvc-1200011755,mvc-11755,mvc-11754,Mg0 –1V2S5,intercalation,Pmnm,1.22,187,528,227,641,0.24,0.25,0.452,138.593,0.018000000000000002,81.78399999999999
mvc-1200011658,mp-25519,mvc-11658,Mg0 –0.25FeO2,intercalation,R3m,3.02,143,604,431,1824,0.25,0.25,0.0,27.986,0.002,19.072
mvc-1200002780,mp-1046309,mp-1046192,MgSn5(TeO6)3,intercalation,C2/c,1.92,157,824,302,1579,0.15,0.26,4.208,163.321,3.155,181.40599999999998
mvc-1200003347,mvc-3347,mvc-12592,Mg0 –1CrO2,intercalation,P1,1.6,495,1707,793,2737,0.07,0.26,0.0,27.243000000000002,8.539,45.882
mvc-1200008387,mp-1043299,mp-1043077,MgCu3(WO3)4,intercalation,P1,1.05,47,389,49,408,0.17,0.26,0.071,38.815,0.004,44.415
mvc-1200002867,mp-1046407,mp-1046138,MgTi5(TeO6)3,intercalation,C2/c,1.94,213,947,413,1836,0.13,0.26,1.135,141.458,1.131,143.533
mvc-1200558132,mp-558132,mvc-15230,Mg0.5 –1VO3,intercalation,Cmmm,2.99,217,615,651,1840,0.41,0.26,6.718,56.625,0.51,49.206
mvc-1200558132,mp-558132,mvc-15230,Mg0.5 –1VO3,intercalation,Cmmm,2.99,217,615,651,1840,0.41,0.26,6.718,56.625,0.51,49.206
mvc-1200009750,mp-1045724,mvc-9896,Mg0 –0.5SnO2,intercalation,P3m1,1.57,165,882,258,1384,0.3,0.26,0.0,86.16,0.0,11.902000000000001
mvc-1200002129,mp-1045724,mvc-13134,Mg0 –0.5CrO3,intercalation,P21nm,2.99,239,945,713,2820,0.19,0.27,0.0,22.497,0.0,11.902000000000001
mvc-1200006076,mp-1047375,mp-1047386,Mg0 –0.5BiO2,intercalation,Cmcm,2.33,106,862,246,2006,0.17,0.27,6.035,63.468,0.0,27.526
mvc-1200010451,mp-1041374,mp-1041443,Mg0 –1Cr4O9,intercalation,P4/n,2.7,142,530,384,1430,0.22,0.27,0.111,140.292,0.0,56.52
mvc-1200002838,mp-1046254,mp-1046254,Mg0.5 –1VO2,intercalation,P1,0.31,250,991,78,310,0.14,0.28,0.0,21.945,0.0,21.945
mvc-1200002838,mp-1046254,mvc-12627,Mg0.25 –1VO2,intercalation,P1,0.74,375,1486,277,1099,0.09,0.28,0.006,41.01,0.0,21.945
mvc-1200000425,mp-1046926,mp-1047047,MgTi3(P2O7)2,intercalation,P21/c,0.08,104,357,9,30,0.15,0.28,1.053,140.678,0.0,91.881
mvc-1200012664,mvc-12664,mvc-12638,Mg0.25 –1NiO2,intercalation,P1,2.63,350,1397,921,3679,0.16,0.28,0.0,29.958000000000002,3.448,45.886
mvc-1200006187,mvc-6187,mp-1047477,MgTi3(AsO4)4,intercalation,P21/c,2.02,208,818,421,1653,0.19,0.28,0.002,158.981,0.009000000000000001,119.294
mvc-1200006654,mp-1041642,mvc-2949,Mg0 –0.5SbO2,intercalation,P1,1.93,162,771,312,1490,0.27,0.28,0.9390000000000001,52.698,3.79,86.87799999999999
mvc-1200005993,mp-1047267,mp-1118394,Mg0 –0.5SnO2,intercalation,Imma,1.13,165,876,186,988,0.19,0.29,0.0,24.682,0.015,71.506
mvc-1200016013,mvc-16013,mvc-15486,Mg0 –2W3O8,intercalation,C2/m,1.7,147,1176,251,2003,0.31,0.3,0.0,56.036,0.0,30.284000000000002
mvc-1200000485,mp-1046897,mp-1047430,MgBa(SbO2)4,intercalation,P31m,1.54,69,381,106,587,0.29,0.3,0.054000000000000006,82.277,0.292,65.916
mvc-1200004843,mp-1046915,mp-540010,Mg0 –0.5WO2,intercalation,Fd3m,1.37,118,997,161,1362,0.26,0.3,4.378,79.296,0.005,58.173
mvc-1200003950,mvc-3950,mvc-11086,Mg0 –2V2O5,intercalation,Pmc21,1.67,465,1608,777,2685,0.06,0.31,0.134,70.19800000000001,0.0,22.55
mvc-1200012610,mvc-12610,mvc-12231,Mg0 –1VO2,intercalation,C2/m,0.97,500,1963,485,1906,0.08,0.32,2.873,40.758,0.0,29.013
mvc-1200013744,mvc-13744,mvc-11162,Mg0 –0.5NiN,intercalation,P4m2,1.7,316,1407,536,2388,0.88,0.33,0.0,4.519,0.0,24.601
mvc-1200006890,mp-1041873,mp-1042247,Mg0 –1Si2WO6,intercalation,Pcab,0.96,149,737,143,708,0.21,0.33,0.0,307.59,0.0,124.68299999999999
mvc-1200006307,mp-1047570,mvc-5746,Mg0 –0.5SbO2,intercalation,Pcmb,1.36,162,901,220,1225,0.16,0.34,0.124,94.206,0.0,44.33
mvc-1200008358,mp-1043219,mp-1043432,Mg0 –1Mo2O5,intercalation,Cmcm,1.28,181,739,232,947,0.12,0.34,2.062,137.46200000000002,0.052000000000000005,82.738
mvc-1200010203,mp-1041093,mvc-5928,Mg0 –0.5WO2,intercalation,Cm,1.4,118,963,164,1347,0.32,0.34,0.608,196.613,0.043,159.02
mvc-1200001387,mp-1048590,mp-1048407,Mg0 –1P2WO7,intercalation,P21/c,1.03,140,666,145,688,0.2,0.34,0.9740000000000001,151.385,1.245,138.262
mvc-1200006762,mp-1041727,mp-1041395,Mg0 –0.5BiO2,intercalation,Pnmm,2.15,106,761,227,1635,0.18,0.34,22.39,208.391,0.539,82.26700000000001
mvc-1200008117,mp-1042921,mp-1043381,Mg0 –1Sb2O5,intercalation,Cmcm,1.43,154,669,221,958,0.04,0.35,0.0,38.634,0.08800000000000001,77.17
mvc-1200009603,mp-1044699,mp-1044716,Mg0 –0.5SbO2,intercalation,R3m,1.87,162,868,302,1622,0.34,0.35,5.336,76.692,0.0,32.446999999999996
mvc-1200009231,mvc-9231,mp-1044452,Mg0 –1Mo3O7,intercalation,Pcmn,1.35,126,558,171,754,0.22,0.36,1.71,273.59,0.0,131.856
mvc-1200010457,mp-1041391,mp-1041282,Mg0 –0.5WO2,intercalation,P1,1.35,118,971,159,1311,0.34,0.37,1.127,200.773,0.18,156.086
mvc-1200005801,mvc-5801,mp-715923,Mg0 –1WO3,intercalation,Cm,0.79,209,1299,166,1033,0.0,0.4,0.065,25.605,0.01,17.127
mvc-1200006035,mp-1047303,mp-1047381,Mg0 –0.5SnO2,intercalation,Cmcm,1.09,165,959,180,1049,0.31,0.4,2.97,26.87,0.0,21.105
mvc-1200000907,mp-1044085,mp-1041213,Mg0 –1P4W3O14,intercalation,P21/c,-0.48,58,333,-28,-159,0.21,0.42,0.015,155.157,0.0,110.81
mvc-1200008374,mp-1043241,mp-1043494,Mg0 –1W2O5,intercalation,Cmcm,1.56,114,763,177,1188,0.43,0.44,0.737,103.51700000000001,0.003,70.743
mvc-1200003752,mvc-3752,mvc-13490,Mg0 –2Bi2O5,intercalation,Pmcb,2.52,196,1260,494,3172,0.33,0.44,0.006,90.021,0.0,42.375
mvc-1200005140,mvc-5140,mvc-5145,Mg0 –1Si2WO6,intercalation,C2/c,-0.03,149,814,-5,-25,0.11,0.45,2.057,54.08,0.0,17.498
mvc-1200007794,mp-1042581,mp-1046025,Mg0 –0.5MoO2,intercalation,C2/m,0.31,191,1036,60,326,0.09,0.45,5.921,55.675,0.025,48.699
mvc-1200006075,mp-1047380,mp-1047300,Mg0 –0.5SbO2,intercalation,Cmcm,1.27,162,925,205,1176,0.28,0.47,6.69,53.604,0.0,23.135
mvc-1200003351,mp-1047300,mp-1116755,Mg0 –1WF4,intercalation,Ibam,1.3,189,1053,245,1370,0.0,0.48,0.5579999999999999,59.351000000000006,6.69,53.604
mvc-1200008751,mp-1043624,mvc-12866,Mg0 –0.25SbO2,intercalation,R3m,1.31,84,436,110,572,0.39,0.49,0.0,6.36,0.006,48.29
mvc-1200013651,mvc-13651,mvc-14553,Mg0 –0.5FeN,intercalation,P4m2,1.45,327,1435,473,2079,1.05,0.49,0.0,21.914,0.0,6.892
mvc-1200009989,mp-1048882,mp-1048882,Mg0 –0.5WO2,intercalation,R3m,1.59,118,1033,187,1641,0.59,0.51,0.03,43.593,0.03,43.593
mvc-1200013445,mvc-13445,mvc-13808,Mg0 –0.5MnN,intercalation,P4m2,-0.32,330,1336,-107,-432,0.17,0.52,0.0,0.0,0.0,8.331
mvc-1200002078,mvc-2078,mvc-13841,Mg0 –0.5CuN,intercalation,P4m2,2.11,299,1296,630,2734,1.32,0.52,0.0,17.984,0.0,22.896
mvc-1200000931,mp-1044474,mp-1041454,MgBa(WO2)4,intercalation,P31m,3.01,52,426,157,1282,1.03,0.76,0.628,96.522,0.001,59.946000000000005
mvc-1200000579,mp-1047060,mp-1042571,Mg0 –1WO2,intercalation,C2/m,-0.07,223,1723,-15,-112,0.11,0.9,0.048,48.443999999999996,1.541,59.211999999999996
