mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-1044699,-79.27558873,-5.662542052142856,206.13662967425174,-1.834997882857142,14,0.5551000000000004,5.346011356885293,0.0,5.346011356885293
mvc-9231,-299.06429119,-6.7969157088636365,632.9088309868446,-1.957731202386362,44,0.9613999999999998,4.450999016575078,6.000000075,4.450999016575078
mp-1041391,-291.57656222,-6.942299100476191,552.6995512935069,-1.8345078326190485,42,0.6503000000000005,8.219766856209485,5.967560583333333,8.219766856209485
mvc-5801,-33.2211394,-6.64422788,68.50749793785285,-2.06169291275,5,1.1672000000000002,6.208601922907399,2.0,6.208601922907399
mp-1047303,-79.32479971,-5.666057122142857,186.22452681749232,-1.872331189999999,14,0.0,5.8088491645397875,0.0,5.8088491645397875
mp-1043241,-110.69719963,-6.918574976875,234.18453339169815,-1.9201028776562499,16,0.35329999999999995,6.693392819980858,0.0027695,6.693392819980858
mvc-3752,-97.48024869,-5.415569371666667,282.5016625371321,-1.8409749956944437,18,1.8327,6.42542887539727,5e-08,6.42542887539727
mp-1042581,-95.9150506,-6.8510750428571425,188.38687041904123,-2.1082217921428574,14,1.3003,4.939347891854763,5.99531485,4.939347891854763
mp-1047380,-77.58730368,-5.541950262857143,192.79548958000325,-1.7144060935714285,14,0.3266,5.715946808243734,0.0,5.715946808243734
mp-1047300,-69.26262052,-5.7718850433333335,196.11261564512063,-1.5738060058333332,12,0.0,5.207670894677693,5.75e-07,5.207670894677693
mp-1043624,-72.21136414,-5.554720318461539,204.5207103125765,-1.556160056153846,13,0.0,5.190913723695023,4e-06,5.190913723695023
mvc-13651,-34.38938323,-6.877876646,62.027868263904146,0.007911569047999478,5,0.0,4.3906450231245495,2.8846611,4.3906450231245495
mp-1048882,-95.14280814,-6.795914867142857,172.0783005207207,-1.688123599285715,14,0.6947999999999999,8.800376416659565,2.9998689,8.800376416659565
mp-1044474,-93.08007766,-6.648576975714286,209.1140855175433,-1.5179100864285715,14,0.0,8.139247324673873,11.9835897,8.139247324673873
mp-540570,-71.23128048,-7.123128048,145.35510735923737,-2.78139318475,10,2.6932,2.815898794905086,0.9998577,2.815898794905086
mp-32334,-253.51141814,-6.3377854534999996,517.5337703648295,-1.930852635803572,40,0.06180000000000002,2.9857171412592884,4.009803975,2.9857171412592884
mvc-14769,-77.74379823,-6.478649852499999,218.40069591679105,-0.9568028752083334,12,0.0,3.531708940825196,2.0420449,3.531708940825196
mp-776137,-92.11240838,-7.676034031666667,145.1128374342174,-2.385666885833333,12,0.8155000000000001,3.796372769617872,1.00000005,3.796372769617872
mvc-11632,-173.75328165,-6.205474344642857,489.8007669804018,-1.5670371833928567,28,0.12879999999999997,4.609617966616544,1.000000075,4.609617966616544
mvc-2213,-237.52141514,-6.985923974705882,459.8043397195313,-2.3879908402100845,34,0.6860999999999999,2.6849546784656653,3.99999985,2.6849546784656653
mvc-11142,-30.80272163,-4.400388804285714,115.36945906864177,-2.093673852448571,7,2.0818,2.389081976030751,0.0,2.389081976030751
