mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-25229,-35.96551497,-4.49568937125,125.76964672839793,-0.3328356406250004,8,0.0,4.200957721942662,0.368027525,4.200957721942662
mvc-13223,-183.29475348,-7.637281395,331.34922248560235,-2.3539361541666657,24,1.1606,3.3252072868901057,1.0000266875,3.3252072868901057
mp-782637,-374.2983821,-6.931451520370371,672.5330702476625,-2.0968090924126987,54,0.0029000000000000137,2.621958454306893,4.9999999,2.621958454306893
mp-764171,-521.55968883,-7.243884567083334,902.2118247350525,-2.6283747035238108,72,1.3079,3.016883851953942,2.0000003,3.016883851953942
mp-782641,-375.92252956,-6.961528325185185,699.344401118654,-2.1436635653756615,54,0.0,2.5114220527698254,5.00113265,2.5114220527698254
mp-1207160,-29.22350704,-3.247056337777778,288.11271198690974,-1.7266655578055174,9,0.0,2.9129537824248284,0.033605,2.9129537824248284
mp-771122,-141.91635179,-5.913181324583333,325.9306495013397,-2.0378524254982646,24,0.9708,2.694082949380142,0.0,2.694082949380142
mp-849596,-436.33612632,-7.1530512511475415,723.040085718056,-1.8071006127895077,61,0.12419999999999964,4.1193667267900045,66.9999986,4.1193667267900045
mp-769599,-155.41795206,-7.0644523663636365,301.44454750719916,-2.2296996706038965,22,0.7198,2.533585311302307,2.00000025,2.533585311302307
mp-32055,-248.29881366,-7.302906284117647,499.19572016553036,-2.5023738453781506,34,0.8731,3.1720431961298967,3.0,3.1720431961298967
mvc-11564,-34.11102943,-5.685171571666667,71.03751670459175,-1.1222299974999999,6,1.2325,4.251165713196295,0.99999985,4.251165713196295
mp-770736,-363.94243359,-6.739674696111111,692.0385136857889,-1.9332527349259263,54,0.0,2.758962012985476,4.9999993,2.758962012985476
mp-773138,-146.17370608,-6.644259367272727,321.83953730970944,-1.878775089954545,22,0.9457,2.826531776629412,2.0,2.826531776629412
mvc-4408,-448.3703678,-6.593681879411765,950.3271141140449,-1.9320402894117643,68,2.1637999999999997,4.206132492904921,0.0,4.206132492904921
mp-1184201,-117.44829487,-3.2624526352777776,1236.3622994341401,-1.7689823921637549,36,0.0,3.2249548873980465,4.3475e-05,3.2249548873980465
mp-557912,-44.10908455,-4.901009394444444,191.49255141776348,-2.9240671700570875,9,3.2329000000000003,3.7698682661239045,3.0000005,3.7698682661239045
mp-764115,-447.43718341,-7.457286390166667,995.0008245720766,-2.279634154291666,60,1.1608,2.6517231094173273,0.9999999,2.6517231094173273
